NuclideData:
' Data extracted from NUBASE 2016.
' MAT no., Z, A, Isomer, Spin, Parity, AWR, EXC
' In NucPropNUBASE, AWR is the mass excess!!!
' The MAT numbers are determined by counting. 
' They differ from the original MAT no. of JEFF 3.1.1!
' This is necessary, because the GEFY tables cover nuclides 
' beyond the range of MAT numbers of JEFF 3.1.1. 
Data _
 1  0  1  0 0.5              1 8071.317    0              "t=613.9s" _
 2  1  1  0 0.5              1 7288.970    0              "t=stbl" _
 3  1  2  0 1                1 13135.721   0              "t=stbl" _
 4  1  3  0 0.5              1 14949.809   0              "t=12.32y" _
 5  2  3  0 0.5              1 14931.217   0              "t=stbl" _
 6  3  3  0 -77.777          0 28670       0              "t=p-unst" _
 7  1  4  0 2               -1 24620       0              "t=139ys" _
 8  2  4  0 0                1 2424.915    0              "t=stbl" _
 9  3  4  0 2               -1 25320       0              "t=91ys" _
 10  1  5  0 0.5             1 32890       0              "t=&gt;910ys" _
 11  2  5  0 1.5            -1 11231       0              "t=700ys" _
 12  3  5  0 1.5            -1 11680       0              "t=370ys" _
 13  4  5  0 0.5             1 37140       0              "t=?" _
 14  1  6  0 2              -1 41880       0              "t=290ys" _
 15  2  6  0 0               1 17592.10    0              "t=806.92ms" _
 16  3  6  0 1               1 14086.878   0              "t=stbl" _
 17  4  6  0 0               1 18375       0              "t=5.0zs" _
 18  5  6  0 2              -1 47320       0              "t=p-unst#" _
 19  1  7  0 0.5             1 49140       0              "t=500#ys" _
 20  2  7  0 1.5            -1 26073       0              "t=2.51zs" _
 21  3  7  0 1.5            -1 14907.105   0              "t=stbl" _
 22  4  7  0 1.5            -1 15769.00    0              "t=53.22d" _
 23  5  7  0 1.5            -1 27677       0              "t=570ys" _
 24  2  8  0 0               1 31609.68    0              "t=119.1ms" _
 25  3  8  0 2               1 20945.80    0              "t=839.40ms" _
 26  4  8  0 0               1 4941.67     0              "t=81.9as" _
 27  5  8  0 2               1 22921.6     0              "t=770ms" _
 28  6  8  0 0               1 35064       0              "t=3.5zs" _
 29  2  9  0 0.5             1 40940       0              "t=2.5zs" _
 30  3  9  0 1.5            -1 24954.90    0              "t=178.3ms" _
 31  4  9  0 1.5            -1 11348.45    0              "t=stbl" _
 32  5  9  0 1.5            -1 12416.5     0              "t=800zs" _
 33  6  9  0 1.5            -1 28911.0     0              "t=126.5ms" _
 34  2  10  0 0              1 49200       0              "t=3.1zs" _
 35  3  10  0 1             -1 33053       0              "t=2.0zs" _
 36  3  10  1 1              1 33250       0.2            "t=3.7zs" _
 37  3  10  2 2              1 33530       0.48           "t=1.35zs" _
 38  4  10  0 0              1 12607.49    0              "t=1.51My" _
 39  5  10  0 3              1 12050.609   0              "t=stbl" _
 40  6  10  0 0              1 15698.67    0              "t=19.3009s" _
 41  7  10  0 2             -1 38800       0              "t=200ys" _
 42  3  11  0 1.5           -1 40728.3     0              "t=8.75ms" _
 43  4  11  0 0.5            1 20177.17    0              "t=13.76s" _
 44  5  11  0 1.5           -1 8667.707    0              "t=stbl" _
 45  6  11  0 1.5           -1 10649.40    0              "t=20.364m" _
 46  7  11  0 0.5            1 24300       0              "t=550ys" _
 47  7  11  1 0.5           -1 25040       0.74           "t=690ys" _
 48  3  12  0 -77.777        0 49010       0              "t=&lt;10ns" _
 49  4  12  0 0              1 25077.8     0              "t=21.50ms" _
 50  4  12  1 0              1 27328.8     2.251          "t=229ns" _
 51  5  12  0 1              1 13369.4     0              "t=20.20ms" _
 52  6  12  0 0              1 0.0         0              "t=stbl" _
 53  7  12  0 1              1 17338.1     0              "t=11.000ms" _
 54  8  12  0 0              1 31915       0              "t=&gt;6.3zs" _
 55  3  13  0 1.5           -1 56980       0              "t=3.3zs" _
 56  4  13  0 0.5           -1 33659       0              "t=1.0zs" _
 57  5  13  0 1.5           -1 16561.9     0              "t=17.33ms" _
 58  6  13  0 0.5           -1 3125.008    0              "t=stbl" _
 59  7  13  0 0.5           -1 5345.48     0              "t=9.965m" _
 60  8  13  0 1.5           -1 23115       0              "t=8.58ms" _
 61  4  14  0 0              1 39950       0              "t=4.35ms" _
 62  5  14  0 2             -1 23664       0              "t=12.5ms" _
 63  6  14  0 0              1 3019.893    0              "t=5.70ky" _
 64  7  14  0 1              1 2863.416    0              "t=stbl" _
 65  8  14  0 0              1 8007.781    0              "t=70.620s" _
 66  9  14  0 2             -1 31960       0              "t=500ys" _
 67  4  15  0 2.5            1 49830       0              "t=790ys" _
 68  5  15  0 1.5           -1 28958       0              "t=9.93ms" _
 69  6  15  0 0.5            1 9873.1      0              "t=2.449s" _
 70  7  15  0 0.5           -1 101.438     0              "t=stbl" _
 71  8  15  0 0.5           -1 2855.6      0              "t=122.24s" _
 72  9  15  0 0.5            1 16567       0              "t=1.1zs" _
 73  10  15  0 1.5          -1 40220       0              "t=770ys" _
 74  4  16  0 0              1 57450       0              "t=650ys" _
 75  5  16  0 0             -1 37113       0              "t=&gt;4.6zs" _
 76  6  16  0 0              1 13694       0              "t=747ms" _
 77  7  16  0 2             -1 5683.9      0              "t=7.13s" _
 78  7  16  1 0             -1 5804.3      0.12042        "t=5.25us" _
 79  8  16  0 0              1 -4737.001   0              "t=stbl" _
 80  9  16  0 0             -1 10680       0              "t=11zs" _
 81  10  16  0 0             1 23987       0              "t=&gt;5.7zs" _
 82  5  17  0 1.5           -1 43720       0              "t=5.08ms" _
 83  6  17  0 1.5            1 21032       0              "t=193ms" _
 84  7  17  0 0.5           -1 7870        0              "t=4.173s" _
 85  8  17  0 2.5            1 -808.763    0              "t=stbl" _
 86  9  17  0 2.5            1 1951.70     0              "t=64.370s" _
 87  10  17  0 0.5          -1 16500.4     0              "t=109.2ms" _
 88  11  17  0 1.5           1 35170       0              "t=?" _
 89  5  18  0 2             -1 51790       0              "t=&lt;26ns" _
 90  6  18  0 0              1 24920       0              "t=92ms" _
 91  7  18  0 1             -1 13113       0              "t=619.2ms" _
 92  8  18  0 0              1 -782.815    0              "t=stbl" _
 93  9  18  0 1              1 873.1       0              "t=109.739m" _
 94  9  18  1 5              1 1994.5      1.12136        "t=162ns" _
 95  10  18  0 0             1 5317.6      0              "t=1664.20ms" _
 96  11  18  0 1            -1 25040       0              "t=1.3zs" _
 97  5  19  0 1.5           -1 59770       0              "t=2.92ms" _
 98  6  19  0 0.5            1 32410       0              "t=46.2ms" _
 99  7  19  0 0.5           -1 15856       0              "t=336ms" _
 100  8  19  0 2.5           1 3332.9      0              "t=26.470s" _
 101  9  19  0 0.5           1 -1487.444   0              "t=stbl" _
 102  10  19  0 0.5          1 1752.05     0              "t=17.274s" _
 103  11  19  0 2.5          1 12929       0              "t=&gt;1as" _
 104  12  19  0 0.5         -1 31830       0              "t=5ps" _
 105  5  20  0 -77.777       0 68450       0              "t=?" _
 106  6  20  0 0             1 37500       0              "t=16ms" _
 107  7  20  0 -77.777       0 21770       0              "t=136ms" _
 108  8  20  0 0             1 3796.2      0              "t=13.51s" _
 109  9  20  0 2             1 -17.463     0              "t=11.163s" _
 110  10  20  0 0            1 -7041.930   0              "t=stbl" _
 111  11  20  0 2            1 6850.6      0              "t=447.9ms" _
 112  12  20  0 0            1 17477.7     0              "t=93ms" _
 113  5  21  0 1.5          -1 77330       0              "t=?" _
 114  6  21  0 0.5           1 45640       0              "t=?" _
 115  7  21  0 0.5          -1 25230       0              "t=84ms" _
 116  8  21  0 2.5           1 8062        0              "t=3.42s" _
 117  9  21  0 2.5           1 -47.6       0              "t=4.158s" _
 118  10  21  0 1.5          1 -5731.78    0              "t=stbl" _
 119  11  21  0 1.5          1 -2184.63    0              "t=22.422s" _
 120  12  21  0 2.5          1 10903.8     0              "t=118.6ms" _
 121  13  21  0 2.5          1 26990       0              "t=?" _
 122  6  22  0 0             1 53610       0              "t=6.2ms" _
 123  7  22  0 0            -1 31760       0              "t=23ms" _
 124  8  22  0 0             1 9280        0              "t=2.25s" _
 125  9  22  0 4             1 2793        0              "t=4.23s" _
 126  10  22  0 0            1 -8024.719   0              "t=stbl" _
 127  11  22  0 3            1 -5181.51    0              "t=2.6018y" _
 128  11  22  1 1            1 -4598.46    0.58305        "t=243ns" _
 129  12  22  0 0            1 -399.9      0              "t=3.8755s" _
 130  13  22  0 4            1 18200       0              "t=91.1ms" _
 131  14  22  0 0            1 33340       0              "t=29ms" _
 132  6  23  0 1.5           1 64170       0              "t=?" _
 133  7  23  0 0.5          -1 36720       0              "t=13.9ms" _
 134  8  23  0 0.5           1 14620       0              "t=97ms" _
 135  9  23  0 2.5           1 3290        0              "t=2.23s" _
 136  10  23  0 2.5          1 -5154.05    0              "t=37.140s" _
 137  11  23  0 1.5          1 -9529.852   0              "t=stbl" _
 138  12  23  0 1.5          1 -5473.51    0              "t=11.317s" _
 139  13  23  0 2.5          1 6748.1      0              "t=470ms" _
 140  14  23  0 1.5          1 23700       0              "t=42.3ms" _
 141  7  24  0 -77.777       0 46940       0              "t=?" _
 142  8  24  0 0             1 18500       0              "t=77.4ms" _
 143  9  24  0 3             1 7540        0              "t=384ms" _
 144  10  24  0 0            1 -5951.6     0              "t=3.38m" _
 145  11  24  0 4            1 -8417.901   0              "t=14.957h" _
 146  11  24  1 1            1 -7945.694   0.4722074      "t=20.18ms" _
 147  12  24  0 0            1 -13933.569                0              "t=stbl" _
 148  13  24  0 4            1 -48.86      0              "t=2.053s" _
 149  13  24  1 1            1 376.94      0.4258         "t=130ms" _
 150  14  24  0 0            1 10745       0              "t=140ms" _
 151  15  24  0 1            1 33320       0              "t=?" _
 152  7  25  0 0.5          -1 55980       0              "t=?" _
 153  8  25  0 1.5           1 27330       0              "t=5.18zs" _
 154  9  25  0 2.5           1 11330       0              "t=80ms" _
 155  10  25  0 0.5          1 -2036       0              "t=602ms" _
 156  11  25  0 2.5          1 -9357.8     0              "t=59.1s" _
 157  12  25  0 2.5          1 -13192.78   0              "t=stbl" _
 158  13  25  0 2.5          1 -8915.97    0              "t=7.183s" _
 159  14  25  0 2.5          1 3827        0              "t=220ms" _
 160  15  25  0 0.5          1 19740       0              "t=?" _
 161  8  26  0 0             1 34660       0              "t=4.2ps" _
 162  9  26  0 1             1 18650       0              "t=8.2ms" _
 163  9  26  1 4             1 19290       0.6434         "t=2.2ms" _
 164  10  26  0 0            1 481         0              "t=197ms" _
 165  11  26  0 3            1 -6861       0              "t=1071.28ms" _
 166  11  26  1 1            1 -6779       0.0825         "t=9us" _
 167  12  26  0 0            1 -16214.542                0              "t=stbl" _
 168  13  26  0 5            1 -12210.15   0              "t=717ky" _
 169  13  26  1 0            1 -11981.85   0.228306       "t=6346.0ms" _
 170  14  26  0 0            1 -7141.02    0              "t=2.2453s" _
 171  15  26  0 3            1 10970       0              "t=43.7ms" _
 172  15  26  1 -77.777      0 11130       0.1644         "t=120ns" _
 173  16  26  0 0            1 27080       0              "t=?" _
 174  8  27  0 1.5           1 44670       0              "t=?" _
 175  9  27  0 2.5           1 25450       0              "t=4.9ms" _
 176  10  27  0 1.5          1 7050        0              "t=31.5ms" _
 177  11  27  0 2.5          1 -5518       0              "t=301ms" _
 178  12  27  0 0.5          1 -14586.61   0              "t=9.435m" _
 179  13  27  0 2.5          1 -17196.86   0              "t=stbl" _
 180  14  27  0 2.5          1 -12384.50   0              "t=4.15s" _
 181  15  27  0 0.5          1 -722        0              "t=260ms" _
 182  16  27  0 2.5          1 17030       0              "t=15.5ms" _
 183  8  28  0 0             1 52080       0              "t=?" _
 184  9  28  0 -77.777       0 33740       0              "t=46zs" _
 185  10  28  0 0            1 11300       0              "t=20ms" _
 186  11  28  0 1            1 -988        0              "t=30.5ms" _
 187  12  28  0 0            1 -15018.8    0              "t=20.915h" _
 188  13  28  0 3            1 -16850.64   0              "t=2.245m" _
 189  14  28  0 0            1 -21492.794                0              "t=stbl" _
 190  15  28  0 3            1 -7147.7     0              "t=270.3ms" _
 191  16  28  0 0            1 4070        0              "t=125ms" _
 192  17  28  0 1            1 27520       0              "t=?" _
 193  9  29  0 2.5           1 40150       0              "t=2.5ms" _
 194  10  29  0 1.5         -1 18400       0              "t=14.7ms" _
 195  11  29  0 1.5          1 2680        0              "t=44.1ms" _
 196  12  29  0 1.5          1 -10603      0              "t=1.30s" _
 197  13  29  0 2.5          1 -18207.8    0              "t=6.56m" _
 198  14  29  0 0.5          1 -21895.078                0              "t=stbl" _
 199  15  29  0 0.5          1 -16952.8    0              "t=4.142s" _
 200  16  29  0 2.5          1 -3160       0              "t=188ms" _
 201  17  29  0 0.5          1 13160       0              "t=?" _
 202  9  30  0 -77.777       0 48110       0              "t=?" _
 203  10  30  0 0            1 23280       0              "t=7.22ms" _
 204  11  30  0 2            1 8475        0              "t=48.4ms" _
 205  12  30  0 0            1 -8884       0              "t=313ms" _
 206  13  30  0 3            1 -15864.8    0              "t=3.62s" _
